lhs,rhs
AR,AI
RA,IA
AIA,AAA
IAI,AAA
RSA,ISA
II,I
IR,I
RI,I
RR,R
SI,I
SR,R
SS,S
AAI,AA
IAA,AA
IAS,IA
SAA,AA
AAAA,AAA
AAAS,AAA
ASAI,ASA
AASA,AA
AISA,AI
ASASA,ASA
