name,canonical_word,length
A,A,1
I,I,1
R,R,1
S,S,1
E5,AA,2
E6,AI,2
E7,AS,2
E8,IA,2
E9,IS,2
E10,RS,2
E11,SA,2
E12,AAA,3
E13,AAS,3
E14,AIS,3
E15,ASA,3
E16,ISA,3
E17,SAI,3
E18,SAS,3
E19,ASAS,4
E20,ISAI,4
E21,ISAS,4
E22,SAIS,4
E23,SASA,4
E24,ISAIS,5
E25,ISASA,5
E26,SASAS,5
E27,ISASAS,6
